GEOID,NAME,variable,estimate,moe
19,Iowa,B27010_051,568486,2109
19,Iowa,B27010_052,203660,5515
19,Iowa,B27010_058,362696,5618
19,Iowa,B27010_066,2130,614
20,Kansas,B27010_002,726154,2999
20,Kansas,B27010_003,625478,7144
20,Kansas,B27010_010,60127,5045
20,Kansas,B27010_017,40549,4603
20,Kansas,B27010_018,610817,5010
20,Kansas,B27010_019,468262,7566
20,Kansas,B27010_026,53979,4719
20,Kansas,B27010_033,88576,5273
20,Kansas,B27010_034,1039237,4796
20,Kansas,B27010_035,834990,7943
20,Kansas,B27010_042,97112,5032
20,Kansas,B27010_050,107135,5538
20,Kansas,B27010_051,500413,2640
20,Kansas,B27010_052,186578,6236
20,Kansas,B27010_058,309793,6411
20,Kansas,B27010_066,4042,1350
21,Kentucky,B27010_002,1063578,5088
21,Kentucky,B27010_003,941949,9426
21,Kentucky,B27010_010,85010,6849
21,Kentucky,B27010_017,36619,4380
21,Kentucky,B27010_018,922266,6259
21,Kentucky,B27010_019,767611,8783
21,Kentucky,B27010_026,66528,4858
21,Kentucky,B27010_033,88127,6234
21,Kentucky,B27010_034,1674816,5323
21,Kentucky,B27010_035,1383421,11185
21,Kentucky,B27010_042,178473,7423
21,Kentucky,B27010_050,112922,6315
21,Kentucky,B27010_051,781588,2508
21,Kentucky,B27010_052,284128,6391
21,Kentucky,B27010_058,493887,6290
21,Kentucky,B27010_066,3573,1086
22,Louisiana,B27010_002,1126760,5084
22,Louisiana,B27010_003,988130,11559
22,Louisiana,B27010_010,90255,8784
22,Louisiana,B27010_017,48375,5760
22,Louisiana,B27010_018,901752,8730
22,Louisiana,B27010_019,709479,12054
22,Louisiana,B27010_026,72501,6807
22,Louisiana,B27010_033,119772,7986
22,Louisiana,B27010_034,1675978,8025
22,Louisiana,B27010_035,1343301,13085
22,Louisiana,B27010_042,195550,8304
22,Louisiana,B27010_050,137127,7703
22,Louisiana,B27010_051,773383,3081
22,Louisiana,B27010_052,288811,8125
22,Louisiana,B27010_058,480035,8667
22,Louisiana,B27010_066,4537,1201
23,Maine,B27010_002,261156,1934
23,Maine,B27010_003,228155,3336
23,Maine,B27010_010,21933,2423
23,Maine,B27010_017,11068,2151
23,Maine,B27010_018,261198,2354
23,Maine,B27010_019,212988,4063
23,Maine,B27010_026,20121,2682
23,Maine,B27010_033,28089,3150
23,Maine,B27010_034,546760,2365
23,Maine,B27010_035,444163,5750
23,Maine,B27010_042,61516,4085
23,Maine,B27010_050,41081,3349
23,Maine,B27010_051,309208,1441
23,Maine,B27010_052,117468,4321
23,Maine,B27010_058,190483,4350
23,Maine,B27010_066,1257,529
24,Maryland,B27010_002,1437219,5479
24,Maryland,B27010_003,1265665,12346
24,Maryland,B27010_010,104299,7831
24,Maryland,B27010_017,67255,8298
24,Maryland,B27010_018,1203658,7336
24,Maryland,B27010_019,996992,10849
24,Maryland,B27010_026,84210,6158
24,Maryland,B27010_033,122456,7029
24,Maryland,B27010_034,2404293,5182
24,Maryland,B27010_035,1998433,11738
24,Maryland,B27010_042,222290,8520
24,Maryland,B27010_050,183570,8731
24,Maryland,B27010_051,1042142,2559
24,Maryland,B27010_052,311109,10304
24,Maryland,B27010_058,722957,10177
24,Maryland,B27010_066,8076,1559
25,Massachusetts,B27010_002,1436404,4424
25,Massachusetts,B27010_003,1295329,8970
25,Massachusetts,B27010_010,119886,8786
25,Massachusetts,B27010_017,21189,3860
25,Massachusetts,B27010_018,1542497,5095
25,Massachusetts,B27010_019,1363012,8867
25,Massachusetts,B27010_026,104845,6372
25,Massachusetts,B27010_033,74640,6066
25,Massachusetts,B27010_034,2696482,4002
25,Massachusetts,B27010_035,2388430,12102
25,Massachusetts,B27010_042,233165,8930
25,Massachusetts,B27010_050,74887,7446
25,Massachusetts,B27010_051,1258692,1454
25,Massachusetts,B27010_052,395117,9067
25,Massachusetts,B27010_058,855221,9060
25,Massachusetts,B27010_066,8354,1715
26,Michigan,B27010_002,2241719,5262
26,Michigan,B27010_003,1974394,13309
26,Michigan,B27010_010,200976,9733
26,Michigan,B27010_017,66349,5841
26,Michigan,B27010_018,2076045,6526
26,Michigan,B27010_019,1757987,12141
26,Michigan,B27010_026,147388,7108
26,Michigan,B27010_033,170670,7782
26,Michigan,B27010_034,3723216,4900
26,Michigan,B27010_035,3175502,11784
26,Michigan,B27010_042,344692,8602
26,Michigan,B27010_050,203022,7458
26,Michigan,B27010_051,1890659,2600
26,Michigan,B27010_052,568776,9476
26,Michigan,B27010_058,1313582,9878
26,Michigan,B27010_066,8301,1759
27,Minnesota,B27010_002,1369819,4041
27,Minnesota,B27010_003,1210113,9643
27,Minnesota,B27010_010,113630,8074
27,Minnesota,B27010_017,46076,5250
27,Minnesota,B27010_018,1155930,5416
27,Minnesota,B27010_019,997488,8491
27,Minnesota,B27010_026,74036,4375
27,Minnesota,B27010_033,84406,5696
27,Minnesota,B27010_034,2162440,4064
27,Minnesota,B27010_035,1889436,8058
27,Minnesota,B27010_042,168762,7130
27,Minnesota,B27010_050,104242,5777
27,Minnesota,B27010_051,989834,2632
27,Minnesota,B27010_052,304647,6773
27,Minnesota,B27010_058,682125,7187
27,Minnesota,B27010_066,3062,733
28,Mississippi,B27010_002,718688,4123
28,Mississippi,B27010_003,621392,8141
28,Mississippi,B27010_010,53887,5856
28,Mississippi,B27010_017,43409,5636
28,Mississippi,B27010_018,569890,6049
28,Mississippi,B27010_019,424245,8411
28,Mississippi,B27010_026,35932,4272
28,Mississippi,B27010_033,109713,6567
28,Mississippi,B27010_034,1086106,5415
28,Mississippi,B27010_035,792667,8887
28,Mississippi,B27010_042,152119,7678
28,Mississippi,B27010_050,141320,7087
28,Mississippi,B27010_051,499606,2546
28,Mississippi,B27010_052,183978,5546
28,Mississippi,B27010_058,312676,5584
28,Mississippi,B27010_066,2952,911
29,Missouri,B27010_002,1445180,5021
29,Missouri,B27010_003,1270474,11285
29,Missouri,B27010_010,97193,7981
29,Missouri,B27010_017,77513,8071
29,Missouri,B27010_018,1267830,7870
29,Missouri,B27010_019,1015084,10493
29,Missouri,B27010_026,77294,5067
29,Missouri,B27010_033,175452,9184
29,Missouri,B27010_034,2279163,7402
29,Missouri,B27010_035,1859216,13540
29,Missouri,B27010_042,219130,10267
29,Missouri,B27010_050,200817,8922
29,Missouri,B27010_051,1102363,3290
